date;gforce;speed;AccX;AccY;AccZ;GyroX;GyroY;GyroZ
12/02/2020 11:18:16;1;49;0.62;-0.37;1.83;-77.68;1.08;4.02
12/02/2020 11:18:17;1;49;0.68;-0.19;1.73;-77.44;3.80;-0.60
12/02/2020 11:18:19;1;49;0.55;-0.36;1.68;-77.44;5.28;6.98
12/02/2020 11:18:20;1;49;0.54;-0.57;1.34;-77.68;-4.90;2.29
12/02/2020 11:18:22;1;52;0.69;-0.42;1.34;-77.44;-1.93;6.45
12/02/2020 11:18:23;1;55;0.68;-0.81;1.42;-77.44;-10.77;-9.88
12/02/2020 11:18:24;1;58;0.75;-0.59;1.69;-77.56;-5.98;-7.11
12/02/2020 11:18:26;1;65;0.32;-0.49;0.83;-77.44;5.50;7.21
12/02/2020 11:18:27;1;67;0.60;-0.62;1.39;-77.44;5.84;7.44
12/02/2020 11:18:29;2;75;0.60;-0.53;2.27;-77.07;6.31;10.07
12/02/2020 11:18:30;1;78;0.57;-0.91;1.54;-76.95;-9.44;-4.05
12/02/2020 11:18:32;1;85;0.57;-0.93;1.31;-76.95;-12.21;-5.88
12/02/2020 11:18:33;2;87;0.88;-0.89;2.23;-76.95;-3.62;-6.40
12/02/2020 11:18:34;1;86;0.64;-0.51;1.74;-76.95;5.34;11.87
12/02/2020 11:18:36;1;91;0.64;-0.40;1.43;-76.95;7.18;7.82
12/02/2020 11:18:37;1;94;0.69;-0.46;1.21;-76.95;6.10;8.63
12/02/2020 11:18:39;1;95;0.51;-0.05;1.36;-76.58;0.71;-2.46
12/02/2020 11:18:40;1;94;0.55;-0.45;1.47;-76.70;-4.12;-4.76
12/02/2020 11:18:42;1;93;0.66;-0.27;1.61;-76.58;-2.60;0.39
12/02/2020 11:18:43;1;93;0.68;-0.37;1.10;-76.70;-15.07;-8.95
12/02/2020 11:18:44;1;93;0.56;-0.24;1.60;-76.58;4.75;5.24
12/02/2020 11:18:46;1;93;0.82;-0.28;1.70;-76.46;-0.05;5.11
12/02/2020 11:18:47;1;94;0.65;-0.11;1.59;-76.70;0.11;2.56
12/02/2020 11:18:49;1;95;0.64;-0.59;1.09;-76.46;-7.56;-3.49
12/02/2020 11:18:50;2;96;0.47;-0.67;2.82;-76.46;-19.73;-1.82
12/02/2020 11:18:52;1;97;0.57;-0.33;1.80;-76.21;0.78;1.73
12/02/2020 11:18:53;1;96;0.42;-0.56;1.51;-76.09;3.51;13.09
12/02/2020 11:18:54;1;96;0.48;-0.43;1.31;-76.34;-2.40;-2.77
12/02/2020 11:18:56;1;96;0.65;-0.40;1.73;-76.21;-1.53;-2.46
12/02/2020 11:18:57;1;96;0.52;-0.17;1.83;-76.21;8.72;10.29
12/02/2020 11:18:59;1;97;0.52;-0.47;1.51;-75.85;2.57;-0.34
12/02/2020 11:19:00;1;95;0.90;0.04;1.29;-76.21;0.15;-17.04
12/02/2020 11:19:02;1;95;0.91;-0.42;1.70;-75.73;-4.31;-2.91
12/02/2020 11:19:03;1;95;0.86;-0.40;1.50;-75.60;-12.44;18.82
12/02/2020 11:19:04;1;97;1.00;-0.26;1.17;-75.73;9.44;-7.36
12/02/2020 11:19:06;1;101;0.72;-0.20;1.47;-75.60;-0.71;-0.46
12/02/2020 11:19:07;2;100;0.59;-0.55;2.09;-75.73;0.53;2.63
12/02/2020 11:19:09;1;100;0.63;-0.56;1.54;-75.73;-11.79;-9.38
12/02/2020 11:19:10;1;99;0.51;-0.45;1.43;-75.60;-12.92;-15.05
12/02/2020 11:19:12;1;99;0.78;-0.42;1.65;-75.24;-7.88;-10.96
12/02/2020 11:19:13;1;98;0.56;-0.48;1.81;-75.36;-18.18;-7.87
12/02/2020 11:19:15;1;97;0.67;-0.30;1.40;-75.48;-3.47;-0.73
12/02/2020 11:19:16;1;96;0.64;-0.68;1.23;-75.24;-9.95;-8.47
12/02/2020 11:19:17;1;96;0.63;-0.47;1.35;-75.11;-5.23;-1.65
12/02/2020 11:19:19;1;95;0.65;-0.47;0.98;-74.99;-1.38;-0.34
12/02/2020 11:19:20;1;95;0.73;-0.59;1.67;-74.87;-8.08;7.48
12/02/2020 11:19:22;1;96;0.50;-0.48;1.29;-75.11;-3.40;-5.69
12/02/2020 11:19:23;1;96;0.55;-0.44;1.80;-74.75;0.31;1.35
12/02/2020 11:19:25;1;97;0.56;-0.44;1.38;-74.63;-2.75;0.05
12/02/2020 11:19:26;1;97;0.44;-0.52;1.50;-74.63;0.26;2.92
